Name,Address,City,Postcode,Latitude,Longitude
Main Drug Mart,1473 Danforth Ave.,Toronto,M4J 1N5,43.682602,-79.325954
Main Drug Mart,2160 Weston Road,Toronto,M9N 1X6,43.702857,-79.525458
Main Drug Mart,25 Overlea Blvd #4,Toronto,M4H 1P9,43.704954,-79.350046
Main Drug Mart,2536 Keele Street,Toronto,M6L 2N8,43.715278,-79.479853
Main Drug Mart,3245 Finch Ave. East,Toronto,M1W 4C1,43.795845,-79.319301
Main Drug Mart,3265 Bayview Avenue,Toronto,M2K 1G4,43.791613,-79.393023
Main Drug Mart,61 Queen St East,Toronto,M5C 2T2,43.652826,-79.376288
Main Drug Mart,658 Danforth Ave Unit 102,Toronto,M4J 5B9,43.68778,-79.30205
Main Drug Mart,7-1646 Victoria Park Avenue,Toronto,M1R 1P7,43.730376,-79.304987
Main Drug Mart,844 Bathurst St,Toronto,M5R 3G1,43.66628,-79.41205
Main Drug Mart,2772 Danforth Avenue,Toronto,M4C 1L7,43.689551,-79.296986
Main Drug Mart,410 Sherbourne Street,Toronto,M4X 1K2,43.66484,-79.37347
Main Drug Mart,2091 Danforth Avenue,Toronto,M4C 1K1,43.685556,-79.312324
Main Drug Mart,1-399 Church St,Toronto,M5B 2J6,43.66179,-79.37894
Main Drug Mart,5 The Market Place,Toronto,M4C 5M2,43.69601,-79.29212
Main Drug Mart,6-943 O'Connor Drive,Toronto,M4B 2S7,43.707974,-79.310629
Main Drug Mart,2558 Danforth Ave,Toronto,M4C 1L3,43.688471,-79.30177
Main Drug Mart,521 Victoria Park Ave,Toronto,M4C 5H1,43.690074,-79.287622
Main Drug Mart,1 Oak Street Unit 1 & 2,Toronto,M5A 0A1,43.664906,-79.351921
Main Drug Mart,140 The Esplanade,Toronto,M5A 4P5,43.64856,-79.37026
Main Drug Mart,1130 Bloor St West,Toronto,M6H 1M8,43.660116,-79.43509
Maple Leaf Medical Pharmacy,14 College St,Toronto,M5G 1K2,43.66149,-79.38394
Margis Pharmacy,408 Roncesvalles Ave,Toronto,M6R 2M9,43.65135,-79.45129
Market St. Pharmacy,149 Augusta Avenue,Toronto,M5T 2L4,43.652669,-79.401086
Markie Pharmacy,1235 Bay Street,Toronto,M5R 3K4,43.670888,-79.389643
Markland Wood Pharmacy,4335 Bloor Street West,Toronto,M9C 2A5,43.6476,-79.50954
Marshall'S Drug Store,412 Summerhill Avenue,Toronto,M4W 2E4,43.68617,-79.37624
Medcentral Pharmacy,20 Drewry Ave,Toronto,M2M 1C8,43.78714,-79.4183
Medi Choice Pharmacy,842 Gerrard St. E Unit 2,Toronto,M4M 1Y7,43.667815,-79.343307
Medical Pharmacy,340 College Street,Toronto,M5T 3A9,43.657581,-79.403464
Medicare Pharmacy,B109-3341 Markham Rd,Toronto,M1X 0A5,43.835359,-79.251232
Medicine Cabinet Lakeshore Pharmacy,2081 Lakeshore Blvd West,Toronto,M8V 3Z4,42.19533,-82.81387
Medimost Pharmacy Inc,2883 Danforth Avenue,Toronto,M4C 1M3,43.689662,-79.294551
Medi-Place Pharmacy,3300 Bloor Street W Suite #146,Toronto,M8X 2W8,43.64825,-79.50636
Medi-Place Pharmacy,1A-622 College Street,Toronto,M6G 1B4,43.65484,-79.41495
Medisystem,3-75 Lesmill Road,Toronto,M3B 2T8,43.759122,-79.356421
Medsexpert Pharmacy,461 Church St,Toronto,M4Y 2C5,43.66426,-79.37999
Metro Drugs,320 Scarlett Rd,Toronto,M9A 4S4,43.682253,-79.510518
Metro Drugs,129 Dundas St East,Toronto,M5B 2N6,43.65671,-79.37643
Metro Drugs,1290 Bloor St West,Toronto,M6H 1N9,43.658821,-79.442111
Metro Medical Pharmacy,351 Christie St.,Toronto,M6G 3C2,43.67339,-79.42117
Metro Pharmacy,3221 Eglinton Avenue E.,Toronto,M1J 2H7,43.742831,-79.220546
Metro Pharmacy,16 William Kitchen Blvd,Toronto,M1P 5B7,43.771079,-79.28176
Metro Pharmacy,3003 Danforth Avenue,Toronto,M4C 1M9,43.690307,-79.293458
Metro Pharmacy,80 Front St East,Toronto,M5E 1T4,43.649498,-79.37295
Metro Pharmacy,100 Lynn Williams St,Toronto,M6K 3N6,43.63996,-79.41787
Metro Pharmacy,2155 St. Clair Ave West,Toronto,M6N 1K5,43.669651,-79.473174
Metropolitan Pharmacy,4G Spadina Ave,Toronto,M5V 3Z9,43.67474,-79.37619
Mobarak Guardian Pharmacy,28 Overlea Blvd,Toronto,M4H 1B6,43.70554,-79.35001
Morelli'S Pharmacy,93 Laird Drive,Toronto,M4G 3T7,43.706138,-79.361782
Morelli'S Pharmacy,15 York Street,Toronto,M5J 0A3,43.642348,-79.380871
Moss Park Pharmacy,325 Queen Street East,Toronto,M5A 1S9,43.655222,-79.365344
Mount Pleasant Pharmacy,245 Eglinton Avenue E.,Toronto,M4P 1L2,43.708261,-79.389548
Mp Specialty Pharmacy,290 Shuter Street-2Nd Floor,Toronto,M5A 1W7,43.65699,-79.36558
Murray Shore Pharmacy,3537 Bathurst Street,Toronto,M6A 2C7,43.729851,-79.431834
Nations Pharmacy,1980 St Clair Avenue W,Toronto,M6N 0A3,43.672204,-79.470618
New Caledonia Pharmacy,600 Caledonia Rd,Toronto,M6E 4V6,43.68957,-79.46114
New Care Pharmacy,56 Westmore Dr,Toronto,M9V 1C3,43.739893,-79.603732
New Day Danforth Pharmacy,1288 Danforth Avenue,Toronto,M4J 1M6,43.682185,-79.33024
New Era Pharmacy,2163 Danforth Avenue,Toronto,M4C 1K2,43.685951,-79.310762
Newe Towne Medical Pharmacy,102-3420 Finch Ave E,Toronto,M1W 2R6,43.79738,-79.31278
Nhatrang Drug Mart,790 Wilson Ave,Toronto,M3K 1E2,43.731292,-79.465122
North Park Medical Pharmacy,D2-2355 Keele Street,Toronto,M6M 4A1,43.707675,-79.477478
Northcliffe Pharmacy,1751 Eglinton Ave W,Toronto,M6E 2H7,43.694972,-79.453456
Northern Rx Medical Pharmacy,201-418 Eglinton Ave West,Toronto,M5N 1A2,43.704286,-79.411062
Nova Pharmacy,1674 Dufferin St,Toronto,M6H 3M1,43.67749,-79.44325
Oakwood Pharmacy,332 Oakwood Ave,Toronto,M6E 2V9,43.68676,-79.438664
Old Park Pharmacy,1042 Eglinton Ave West,Toronto,M6C 2C5,43.70018,-79.43043
Omni Pharmacy,799 Bloor St W,Toronto,M6G 1L8,43.662717,-79.42135
On Care Pharmacy,481 Dundas Street West,Toronto,M5T 1H1,43.653001,-79.39725
One Community Pharmacy,347 Spadina Ave,Toronto,M5T 2G3,43.65528,-79.39867
